Station,Grade,2014 Total,2015 Total
COLLEGE,Underground,47941,44593
DAVISVILLE,Surface,23043,25863
DUNDAS,Underground,75775,77526
DUPONT,Underground,16485,17551
EGLINTON,Underground,77526,75775
EGLINTON WEST,Underground/Surface,19002,17849
FINCH,Underground,90911,90911
GLENCAIRN,Surface,6515,5769
KING,Underground,61355,58096
LAWRENCE,Underground,24591,24591
LAWRENCE WEST,Surface,21416,22602
MUSEUM,Underground,9800,7069
NORTH YORK CENTRE,Underground,24556,24587
OSGOODE,Underground,24587,23606
QUEEN,Underground,52295,47941
QUEEN'S PARK,Underground,39663,52295
ROSEDALE,Surface,6264,6461
DOWNSVIEW,Underground,39901,39901
ST. ANDREW,Underground,55695,61355
ST. CLAIR,Underground,34760,35893
ST. CLAIR WEST,Underground,29476,26673
ST. PATRICK,Underground,32500,32289
SUMMERHILL,Underground,5769,6264
UNION,Underground,125221,125221
WELLESLEY,Underground,24484,24484
WILSON,Surface,23606,24006
YORK MILLS,Underground,34160,27774
YORKDALE,Surface,22602,21026
BLOOR-YONGE - BD,Underground,193030,193030
BLOOR-YONGE - YU,Underground,216189,216189
SPADINA - YU,Underground,14684,13567
SPADINA - BD,Underground,38547,34160
ST. GEORGE - YU,Underground,134891,141365
ST. GEORGE - BD,Underground,141365,134891
SHEPPARD - SHP,Underground,44593,42632
SHEPPARD - YU,Underground,76819,76819
BATHURST,Underground,35513,38547
BAY,Underground,31054,32500
BROADVIEW,Underground,34882,34760
CASTLE FRANK,Underground,7069,9028
CHESTER,Underground,6537,6537
CHRISTIE,Underground,12392,12392
COXWELL,Underground,16983,16983
DONLANDS,Underground,10746,10746
DUFFERIN,Underground,29712,32105
DUNDAS WEST,Underground,27774,29885
GREENWOOD,Underground,10658,9800
HIGH PARK,Underground/Surface,9753,10658
ISLINGTON,Underground,42632,39663
JANE,Underground,20089,21416
KEELE,Elevated,17551,16485
KIPLING,Surface,58096,55695
LANSDOWNE,Underground,17849,20089
MAIN,Underground,25581,24556
OLD MILL,Underground/Elevated,6527,6527
OSSINGTON,Underground,32289,32903
PAPE,Underground,26673,29712
ROYAL YORK,Underground,24006,23043
RUNNYMEDE,Underground,21026,19002
SHERBOURNE,Underground,25863,26471
VICTORIA PARK,Surface,29885,29476
WARDEN,Surface,32105,31054
WOODBINE,Underground,13567,14684
KENNEDY - SRT,Underground/Elevated,35893,35513
KENNEDY - BD,Underground/Elevated,71436,71436
ELLESMERE,Surface,1408,1408
LAWRENCE EAST,Surface,7468,7468
MCCOWAN,Elevated,3928,3928
MIDLAND,Elevated,2460,2379
SCARBOROUGH CENTRE,Elevated,26471,25581
BAYVIEW,Underground,9028,9753
BESSARION,Underground,2379,2460
DON MILLS,Underground,32903,34882
LESLIE,Underground,6461,6515
